Trial.source,Drug_1,canSAR_target_1,Drug_1_target_uniprots,InChI_1,InChIKey_1,SMILES_1,Drug_2,canSAR_target_2,Drug_2_target_uniprots,InChI_2,InChIKey_2,SMILES_2,Patient.population,Disease,Phase,PMID,Results,NCT.Number,Title,Acronym,URL
clinicaltrials.gov,cabozantinib,1081506,P08581,"InChI=1S/C28H24FN3O5/c1-35-24-15-21-22(16-25(24)36-2)30-14-11-23(21)37-20-9-7-19(8-10-20)32-27(34)28(12-13-28)26(33)31-18-5-3-17(29)4-6-18/h3-11,14-16H,12-13H2,1-2H3,(H,31,33)(H,32,34)",ONIQOQHATWINJY-UHFFFAOYSA-N,COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3)c2cc1OC,13-cis-retinoic acid,,,,,,,advanced solid cancers,Phase 1,,,NCT03611595,Cabozantinib in Combination With 13-cis-Retinoic Acid in Children With Relapsed or Refractory Solid Tumors,,https://ClinicalTrials.gov/show/NCT03611595
clinicaltrials.gov,cabozantinib,1081506,P08581,"InChI=1S/C28H24FN3O5/c1-35-24-15-21-22(16-25(24)36-2)30-14-11-23(21)37-20-9-7-19(8-10-20)32-27(34)28(12-13-28)26(33)31-18-5-3-17(29)4-6-18/h3-11,14-16H,12-13H2,1-2H3,(H,31,33)(H,32,34)",ONIQOQHATWINJY-UHFFFAOYSA-N,COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3)c2cc1OC,13-cis-retinoic acid,,,,,,,advanced solid cancers,Phase 1,,,NCT03611595,Cabozantinib in Combination With 13-cis-Retinoic Acid in Children With Relapsed or Refractory Solid Tumors,,https://ClinicalTrials.gov/show/NCT03611595
clinicaltrials.gov,olaparib,26590,O95271;P09874;Q9UGN5,"InChI=1S/C24H23FN4O3/c25-20-8-5-15(14-21-17-3-1-2-4-18(17)22(30)27-26-21)13-19(20)24(32)29-11-9-28(10-12-29)23(31)16-6-7-16/h1-5,8,13,16H,6-7,9-12,14H2,(H,27,30)",FDLYAMZZIXQODN-UHFFFAOYSA-N,Fc1ccc(CC2=NNC(=O)c3ccccc23)cc1C(=O)N4CCN(CC4)C(=O)C5CC5,177Lu-PSMA,,,,,,Metastatic Castration Resistant Prostate Cancer (mCRPC),,Phase 1,,,NCT03874884,,,
clinicaltrials.gov,AB154,,,,,,AB122,,,,,,,,Phase 1,,,NCT03628677,A Study to Evaluate the Safety and Tolerability of AB154 in Participants With Advanced Malignancies,,https://ClinicalTrials.gov/show/NCT03628677
clinicaltrials.gov,AB154,,,,,,AB122,,,,,,,,Phase 1,,,NCT03628677,A Study to Evaluate the Safety and Tolerability of AB154 in Participants With Advanced Malignancies,,https://ClinicalTrials.gov/show/NCT03628677
clinicaltrials.gov,AB928,,,,,,AB122,,,,,,,,Phase 1,,,NCT03629756,A Study to Evaluate the Safety and Tolerability of Immunotherapy Combinations in Participants With Advanced Malignancies,,https://ClinicalTrials.gov/show/NCT03629756
clinicaltrials.gov,AB928,,,,,,AB122,,,,,,,,Phase 1,,,NCT03629756,A Study to Evaluate the Safety and Tolerability of Immunotherapy Combinations in Participants With Advanced Malignancies,,https://ClinicalTrials.gov/show/NCT03629756
clinicaltrials.gov,SC-011,,,,,,ABBV-181,,,,,,,lung cancers,Phase 1,,,NCT03639194,A Study of SC-011 Alone and in Combination With ABBV-181 in Subjects With Relapsed or Refractory Small Cell Lung Cancer,,https://ClinicalTrials.gov/show/NCT03639194
clinicaltrials.gov,SC-011,,,,,,ABBV-181,,,,,,,lung cancers,Phase 1,,,NCT03639194,A Study of SC-011 Alone and in Combination With ABBV-181 in Subjects With Relapsed or Refractory Small Cell Lung Cancer,,https://ClinicalTrials.gov/show/NCT03639194
clinicaltrials.gov,necitumumab,,P00533,,,,abemaciclib,1211300,P11802;Q00534,"InChI=1S/C27H32F2N8/c1-5-35-8-10-36(11-9-35)16-19-6-7-24(30-14-19)33-27-31-15-22(29)25(34-27)20-12-21(28)26-23(13-20)37(17(2)3)18(4)32-26/h6-7,12-15,17H,5,8-11,16H2,1-4H3,(H,30,31,33,34)",UZWDCWONPYILKI-UHFFFAOYSA-N,CCN1CCN(Cc2ccc(Nc3ncc(F)c(n3)c4cc(F)c5nc(C)n(C(C)C)c5c4)nc2)CC1,,lung cancers,Phase 1,,,NCT02411591,A Study of Necitumumab and Abemaciclib in Participants With Non-Small Cell Lung Cancer (NSCLC),,https://ClinicalTrials.gov/show/NCT02411591
