Trial.source,Drug_1,canSAR_target_1,Drug_1_target_uniprots,InChI_1,InChIKey_1,SMILES_1,Drug_2,canSAR_target_2,Drug_2_target_uniprots,InChI_2,InChIKey_2,SMILES_2,Patient.population,Disease,Phase,PMID,Results,NCT.Number,Title,Recruitment,Study.Results,Conditions,Interventions,Sponsor.Collaborators,Gender,Age,Enrollment,Funded.Bys,Study.Types,Study.Designs,Other.IDs,Acronym,Primary.Completion.Date,Outcome.Measures,URL
clinicaltrials.gov,necitumumab,NA,P00533,,,,abemaciclib,1211300,P11802;Q00534,"InChI=1S/C27H32F2N8/c1-5-35-8-10-36(11-9-35)16-19-6-7-24(30-14-19)33-27-31-15-22(29)25(34-27)20-12-21(28)26-23(13-20)37(17(2)3)18(4)32-26/h6-7,12-15,17H,5,8-11,16H2,1-4H3,(H,30,31,33,34)",UZWDCWONPYILKI-UHFFFAOYSA-N,CCN1CCN(Cc2ccc(Nc3ncc(F)c(n3)c4cc(F)c5nc(C)n(C(C)C)c5c4)nc2)CC1,,lung cancers,Phase 1,NA,,NCT02411591,A Study of Necitumumab and Abemaciclib in Participants With Non-Small Cell Lung Cancer (NSCLC),"Active, not recruiting",No Results Available,"Carcinoma, Non-Small-Cell Lung|Neoplasm Metastasis",Drug: Necitumumab|Drug: Abemaciclib,Eli Lilly and Company,All,"18 Years and older __ (Adult, Senior)",70,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,15573|I4X-MC-JFCU,null,"June 23, 2017","Number of Participants with Abemaciclib Dose Limiting Toxicities (DLTs)|Progression Free Survival (PFS) Rate at Three Months|Proportion of Participants With a Complete or Partial Response (Objective Response Rate [ORR])|Pharmacokinetics (PK): Predose Concentration (Cmin) of Necitumumab and Abemaciclib|Pharmacokinetics (PK): Maximum Concentration (Cmax) of Necitumumab and Abemaciclib|Pharmacokinetics (PK): Area Under the Concentration Time Curve (AUC) of Abemaciclib|Disease Control Rate (DCR): Defined as Proportion of Participants With a Best Overall Response of Complete Response (CR), Partial Response (PR), and Stable Disease (SD)|Overall Survival",https://ClinicalTrials.gov/show/NCT02411591
clinicaltrials.gov,cabozantinib,1081506,P08581,"InChI=1S/C28H24FN3O5/c1-35-24-15-21-22(16-25(24)36-2)30-14-11-23(21)37-20-9-7-19(8-10-20)32-27(34)28(12-13-28)26(33)31-18-5-3-17(29)4-6-18/h3-11,14-16H,12-13H2,1-2H3,(H,31,33)(H,32,34)",ONIQOQHATWINJY-UHFFFAOYSA-N,COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc5ccc(F)cc5)cc3)c2cc1OC,abiraterone,181093,P05093,"InChI=1S/C24H31NO/c1-23-11-9-18(26)14-17(23)5-6-19-21-8-7-20(16-4-3-13-25-15-16)24(21,2)12-10-22(19)23/h3-5,7,13,15,18-19,21-22,26H,6,8-12,14H2,1-2H3/t18-,19-,21-,22-,23-,24+/m0/s1",GZOSMCIZMLWJML-VJLLXTKPSA-N,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c5cccnc5,,prostate cancers,Phase 1,NA,,NCT01574937,XL-184+Abiraterone in Post-Chemo CRPC,"Active, not recruiting",No Results Available,Prostate Cancer,Drug: Cabozantinib|Drug: Abiraterone,Dana-Farber Cancer Institute,Male,"18 Years and older __ (Adult, Senior)",27,Other,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,11-441,null,Nov-10,Maximum Tolerated Dose|Definition of a Dosing Regimen,https://ClinicalTrials.gov/show/NCT01574937
clinicaltrials.gov,onapristone,319776,P06401,"InChI=1S/C29H39NO3/c1-28-18-25(19-5-8-21(9-6-19)30(2)3)27-23-12-10-22(32)17-20(23)7-11-24(27)26(28)13-15-29(28,33)14-4-16-31/h5-6,8-9,17,24-26,31,33H,4,7,10-16,18H2,1-3H3/t24-,25+,26-,28+,29+/m0/s1",IEXUMDBQLIVNHZ-YOUGDJEHSA-N,CN(C)c1ccc(cc1)[C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]4CCC5=CC(=O)CCC5=C24,abiraterone,181093,P05093,"InChI=1S/C24H31NO/c1-23-11-9-18(26)14-17(23)5-6-19-21-8-7-20(16-4-3-13-25-15-16)24(21,2)12-10-22(19)23/h3-5,7,13,15,18-19,21-22,26H,6,8-12,14H2,1-2H3/t18-,19-,21-,22-,23-,24+/m0/s1",GZOSMCIZMLWJML-VJLLXTKPSA-N,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c5cccnc5,,prostate cancers,Phase 1/2,NA,,NCT02049190,Phase 1-2 Study of Onapristone in Patients With Advanced Castration-resistant Prostate Cancer,Recruiting,No Results Available,Prostate Cancer|Metastatic Prostate Cancer|Androgen-independent Prostate Cancer|Recurrent Prostate Cancer,Drug: onapristone|Drug: abiraterone,Arno Therapeutics,Male,"18 Years and older __ (Adult, Senior)",75,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,ARN-AR18-CT-102,null,Jun-13,"Dose limiting toxicities related to onapristone or the combination of onapristone and abiraterone utilizing a day 57 safety cut off and based on CTCAE v4|Response to onapristone or the combination of onapristone and abiraterone|Safety and tolerability of extended-release onapristone tablets BID|PK of onapristone, mono-demethylated onapristone and other metabolites in plasma and urine",https://ClinicalTrials.gov/show/NCT02049190
clinicaltrials.gov,sipuleucel-T,NA,,,,,abiraterone,181093,P05093,"InChI=1S/C24H31NO/c1-23-11-9-18(26)14-17(23)5-6-19-21-8-7-20(16-4-3-13-25-15-16)24(21,2)12-10-22(19)23/h3-5,7,13,15,18-19,21-22,26H,6,8-12,14H2,1-2H3/t18-,19-,21-,22-,23-,24+/m0/s1",GZOSMCIZMLWJML-VJLLXTKPSA-N,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CC=C2c5cccnc5,,prostate cancers,Phase 2,NA,,NCT01487863,Concurrent vs. Sequential Sipuleucel-T & Abiraterone Treatment in Men With Metastatic Castrate Resistant Prostate Cancer,Completed,Has Results,Prostate Cancer Metastatic|Hormone Refractory Prostate Cancer|Castration-resistant Prostate Cancer,Biological: sipuleucel-T|Drug: abiraterone acetate,Dendreon,Male,"18 Years and older __ (Adult, Senior)",69,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Basic Science,P11-3,null,Apr-12,Cumulative CD54 Upregulation Ratio Between the Cohorts.,https://ClinicalTrials.gov/show/NCT01487863
clinicaltrials.gov,AZD6738,NA,,,,,acalabrutinib,2014063,,"InChI=1S/C26H23N7O2/c1-2-6-21(34)32-15-5-7-19(32)25-31-22(23-24(27)29-14-16-33(23)25)17-9-11-18(12-10-17)26(35)30-20-8-3-4-13-28-20/h3-4,8-14,16,19H,5,7,15H2,1H3,(H2,27,29)(H,28,30,35)/t19-/m0/s1",WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCC[C@H]1c2nc(c3ccc(cc3)C(=O)Nc4ccccn4)c5c(N)nccn25,,leukemia,Phase 1/2,NA,,NCT03328273,A Study of AZD6738 and Acalabrutinib in Subjects With Relapsed or Refractory Chronic Lymphocytic Leukemia (CLL),Recruiting,No Results Available,Chronic Lymphocytic Leukemia,Drug: AZD6738|Drug: acalabrutinib,Acerta Pharma BV,All,"18 Years and older ï_ (Adult, Senior)",62,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ACE-CL-110,null,Number of participants experiencing dose-limiting toxicities,,https://ClinicalTrials.gov/show/NCT03328273
clinicaltrials.gov,pembrolizumab,NA,Q15116,,,,acalabrutinib,2014063,,"InChI=1S/C26H23N7O2/c1-2-6-21(34)32-15-5-7-19(32)25-31-22(23-24(27)29-14-16-33(23)25)17-9-11-18(12-10-17)26(35)30-20-8-3-4-13-28-20/h3-4,8-14,16,19H,5,7,15H2,1H3,(H2,27,29)(H,28,30,35)/t19-/m0/s1",WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCC[C@H]1c2nc(c3ccc(cc3)C(=O)Nc4ccccn4)c5c(N)nccn25,,bladder cancers,Phase 2,NA,,NCT02351739,Study of the Combination of ACP-196 and Pembrolizumab in Subjects With Platinum Resistant Urothelial Bladder Cancer,"Active, not recruiting",No Results Available,Metastatic Urothelial Carcinoma,Drug: pembrolizumab|Drug: ACP-196 in combination with pembrolizumab,Acerta Pharma BV|Merck Sharp & Dohme Corp.,All,"18 Years and older __ (Adult, Senior)",75,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: No masking|Primary Purpose: Treatment,ACE-ST-005,KEYNOTE143,Nov-13,To determine the overall response rate (ORR) of pembrolizumab monotherapy and the combination of ACP-196 and pembrolizumab in subjects,https://ClinicalTrials.gov/show/NCT02351739
clinicaltrials.gov,pembrolizumab,NA,Q15116,,,,acalabrutinib,2014063,,"InChI=1S/C26H23N7O2/c1-2-6-21(34)32-15-5-7-19(32)25-31-22(23-24(27)29-14-16-33(23)25)17-9-11-18(12-10-17)26(35)30-20-8-3-4-13-28-20/h3-4,8-14,16,19H,5,7,15H2,1H3,(H2,27,29)(H,28,30,35)/t19-/m0/s1",WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCC[C@H]1c2nc(c3ccc(cc3)C(=O)Nc4ccccn4)c5c(N)nccn25,,lung cancers,Phase 2,NA,,NCT02448303,Pembrolizumab Alone and In Combination With Acalabrutinib (ACP-196) in Subjects With Advanced Non-small Cell Lung Cancer,"Active, not recruiting",No Results Available,"Carcinoma, Non-Small-Cell Lung",Drug: Pembrolizumab|Drug: Acalabrutinib,Acerta Pharma BV|Merck Sharp & Dohme Corp.,All,"18 Years and older __ (Adult, Senior)",74,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment,ACE-ST-007,KEYNOTE166,May-13,The overall response rate (ORR) of pembrolizumab monotherapy and the combination of acalabrutinib and pembrolizumab in subjects with recurrent or metastatic NSCLC,https://ClinicalTrials.gov/show/NCT02448303
clinicaltrials.gov,acalabrutinib,2014063,,"InChI=1S/C26H23N7O2/c1-2-6-21(34)32-15-5-7-19(32)25-31-22(23-24(27)29-14-16-33(23)25)17-9-11-18(12-10-17)26(35)30-20-8-3-4-13-28-20/h3-4,8-14,16,19H,5,7,15H2,1H3,(H2,27,29)(H,28,30,35)/t19-/m0/s1",WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCC[C@H]1c2nc(c3ccc(cc3)C(=O)Nc4ccccn4)c5c(N)nccn25,ACP-319,NA,,,,,,lymphoma;multiple myeloma,Phase 1/2,NA,,NCT02328014,"ACP-196 in Combination With ACP-319, for Treatment of B-Cell Malignancies",Recruiting,No Results Available,Non-hodgkins Lymphoma|Multiple Myeloma|B-All,Drug: ACP-196 and ACP-319|Drug: ACP-196 and ACP-319,Acerta Pharma BV,All,"18 Years and older __ (Adult, Senior)",126,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment,ACE-LY-001,null,Jul-13,Incidence of adverse events from the combination of ACP-196 and ACP-319|Overall response rate of the combination of ACP-196 and ACP-319,https://ClinicalTrials.gov/show/NCT02328014
clinicaltrials.gov,BI 836845,NA,,,,,afatinib,755714,O14578;O14976;O15197;O43353;O94804;P00519;P00533;P04626;P06239;P08581;P08631;P12931;P15735;P21860;P30530;P36888;P42681;P42685;P45984;P49674;P51451;P51617;P53779;Q13163;Q13627;Q15303;Q16539;Q16816;Q52WX2;Q8NE63;Q92630;Q9BUB5;Q9H2G2;Q9HBH9;Q9UEE5;Q9UF33;Q9UK32;Q9Y463,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,,lung cancers,Phase 1,NA,,NCT02191891,Xentuzumab (BI 836845) Plus Afatinib in Patients With Epidermal Growth Factor Receptor (EGFR) Mutant Non-small Cell Lung Cancer (NSCLC),Recruiting,No Results Available,"Carcinoma, Non-Small-Cell Lung",Drug: BI 836845|Drug: afatinib,Boehringer Ingelheim,All,"18 Years and older __ (Adult, Senior)",34,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,1280.16,null,"March 2, 2018","Maximum tolerated dose (MTD) of BI 836845 in combination with afatinib - part A|Dose limiting toxicity (DLT) during the first treatment course - part A|Objective response (OR), defined as complete response (CR) or partial response (PR)|Disease control (DC), defined as complete response (CR), partial response (PR) or stable disease (SD)|Time to objective response, defined as the duration of time from the date of first treatment administration until objective response|Duration of objective response, defined as the duration of time from first objective response to the date of first objective tumour progression or death due to any cause",https://ClinicalTrials.gov/show/NCT02191891
clinicaltrials.gov,cetuximab,9,P00533,,,,afatinib,755714,O14578;O14976;O15197;O43353;O94804;P00519;P00533;P04626;P06239;P08581;P08631;P12931;P15735;P21860;P30530;P36888;P42681;P42685;P45984;P49674;P51451;P51617;P53779;Q13163;Q13627;Q15303;Q16539;Q16816;Q52WX2;Q8NE63;Q92630;Q9BUB5;Q9H2G2;Q9HBH9;Q9UEE5;Q9UF33;Q9UK32;Q9Y463,"InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1",ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]4CCOC4,,advanced solid cancers,Phase 1,NA,,NCT02020577,Trial of Afatinib (BIBW 2992) + Cetuximab in Advanced Solid Tumours,Completed,Has Results,Neoplasms,Drug: Cetuximab( erbitux__)|Drug: Afatinib,Boehringer Ingelheim,All,"18 Years and older __ (Adult, Senior)",58,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: No masking|Primary Purpose: Treatment,1200.122|2012-005230-10,null,Dec-10,MTD of Afatinib in Combination With Cetuximab Based on the Number of Patients With DLTs During the First Treatment Cycle (Afatinib).|Dose Limiting Toxicities During Cycle 1|MTD of Afatinib in Combination With Cetuximab Based on the Number of Patients With DLTs During the First Treatment Cycle (Cetuximab).|Dose Limiting Toxicities During All Treatment Cycles|Recommended Phase II Dose Based on the Number of Patients With Dose Limiting Toxicity Events (Cetuximab)|Best Overall Response|Objective Response|Disease Control Rate|Recommended Phase II Dose Based on the Number of Patients With Dose Limiting Toxicity Events (Afatinib),https://ClinicalTrials.gov/show/NCT02020577
